328,58
13,141
126,115
72,53
347,280
45,303
217,17
16,48
112,120
259,309
14,288
102,333
360,280
215,113
230,302
143,4
389,82
358,217
175,143
80,111
391,173
53,48
195,50
184,177
310,136
414,23
374,236
275,64
473,194
41,283
151,322
317,186
296,99
361,36
24,339
117,149
41,120
444,52
195,143
233,326
428,187
84,190
182,108
344,137
360,350
332,37
312,326
88,274
374,126
84,237
195,139
474,328
353,286
113,351
167,29
118,17
413,162
206,138
34,109
468,291
449,162
109,336
256,203
453,330
235,74
136,72
127,288
276,135
383,300
220,299
205,186
113,71
261,253
47,25
441,57
79,322
82,349
217,306
33,198
196,306
240,271
129,284
441,6
349,59
350,275
385,137
394,329
175,58
151,223
81,233
2,135
257,92
260,55
446,321
153,328
260,312
102,79
192,83
277,272
471,1
307,166
251,10
58,186
450,158
123,30
124,291
41,44
375,249
418,36
390,273
393,65
66,338
244,282
85,136
271,311
217,109
476,277
387,354
103,160
205,344
333,192
225,265
232,62
127,116
33,174
11,302
284,118
302,113
4,37
363,324
31,118
35,17
441,170
37,264
122,143
343,249
110,277
68,293
296,243
125,243
414,209
98,49
50,338
221,182
217,211
240,28
345,335
331,51
32,207
373,174
410,56
128,99
98,275
230,72
217,94
143,237
128,39
227,282
51,26
334,277
429,8
48,122
86,209
249,247
110,206
463,31
85,195
2,200
136,233
147,217
357,285
339,250
80,98
152,112
30,297
377,278
32,161
30,26
300,245
258,272
81,30
261,42
436,96
36,305
35,346
442,121
207,62
456,292
127,297
305,21
318,42
215,337
299,290
268,162
479,134
105,343
367,161
123,136
203,68
344,331
154,235
162,38
5,235
319,289
52,38
276,110
260,136
68,179
452,36
451,126
190,146
81,225
427,279
361,155
314,335
271,5
342,284
154,340
54,69
136,60
456,55
381,284
80,140
145,310
108,176
105,352
325,136
259,251
129,27
48,325
217,142
23,2
171,67
327,135
83,227
283,219
288,5
58,39
453,354
463,77
280,19
428,190
299,283
76,221
66,22
158,187
461,21
461,184
108,350
128,342
53,182
400,287
453,209
318,80
474,122
443,84
410,91
452,212
13,92
378,171
401,211
411,343
443,128
137,82
404,360
56,196
447,20
440,241
114,103
419,236
180,157
421,117
115,13
338,99
205,169
143,36
396,143
180,329
261,205
348,275
170,15
60,134
92,298
136,20
56,306
223,177
374,161
224,311
262,60
198,296
98,131
23,224
1,267
474,276
352,344
101,187
221,36
341,170
320,161
340,64
369,154
260,159
342,210
168,207
357,152
284,66
99,216
341,195
347,90
316,292
155,208
281,1
156,147
108,221
403,297
311,336
165,239
227,227
346,110
262,243
407,87
338,44
146,264
340,325
318,172
48,121
345,159
116,102
76,13
24,126
244,313
436,38
234,213
454,323
295,100
368,357
197,254
205,125
76,336
353,3
458,55
399,218
113,91
412,357
266,238
26,286
128,63
234,69
411,238
342,272
287,305
163,227
314,259
219,281
229,82
381,244
231,133
385,127
431,327
142,267
249,321
123,141
226,40
366,147
121,140
172,164
458,277
42,71
78,119
197,356
79,110
33,213
209,170
278,239
213,32
106,216
200,300
357,11
439,295
195,245
4,181
153,200
437,215
276,280
410,309
460,113
250,113
140,224
249,15
200,173
